I, [2024-11-09T16:39:04.848316 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Шліфмашина кутова акумуляторна 125мм YATO YT-82827, price: 1 950 ₴, description: , category: 24ka, image_path: media_dir/24ka/12e4331f-e1e4-4d33-8fd8-bf60595b028f.jpg
I, [2024-11-09T16:39:04.848343 #28780]  INFO -- : Processed file: Parsed product: Шліфмашина кутова акумуляторна 125мм YATO YT-82827, Price: 1 950 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/12e4331f-e1e4-4d33-8fd8-bf60595b028f.jpg
I, [2024-11-09T16:39:04.848437 #28780]  INFO -- : Processed file: Finished parsing up to  product pages
I, [2024-11-09T16:39:04.856169 #28780]  INFO -- : Processed file: example_file
I, [2024-11-09T16:39:04.857215 #28780]  INFO -- : Processed file: Initialized SimpleWebsiteParser with config ./config/yaml/web_parser.yaml
I, [2024-11-09T16:39:04.857259 #28780]  INFO -- : Processed file: Starting parsing process
I, [2024-11-09T16:39:07.135780 #28780]  INFO -- : Processed file: Extracted 24 product links
I, [2024-11-09T16:39:09.207163 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233191407_w358_h473_akumulyatorna-bolgarka-yato.jpg
I, [2024-11-09T16:39:09.238447 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233258743_w269_h230_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:09.267492 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233217251_w358_h473_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:09.288831 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233188647_w358_h473_shlifmashina-kutova-230mm.jpg
I, [2024-11-09T16:39:09.317873 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/efdabda3-2dd5-4811-9170-94ab29a6a681.jpg
I, [2024-11-09T16:39:09.317945 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Акумуляторна болгарка YATO YT-82826, price: 3 250 ₴, description: , category: 24ka, image_path: media_dir/24ka/efdabda3-2dd5-4811-9170-94ab29a6a681.jpg
I, [2024-11-09T16:39:09.317975 #28780]  INFO -- : Processed file: Parsed product: Акумуляторна болгарка YATO YT-82826, Price: 3 250 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/efdabda3-2dd5-4811-9170-94ab29a6a681.jpg
I, [2024-11-09T16:39:09.352897 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/98965334-6560-49d1-8da6-ee7eb4706c8c.jpg
I, [2024-11-09T16:39:09.352968 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 230 мм YATO YT-82105, price: 3 600 ₴, description: , category: 24ka, image_path: media_dir/24ka/98965334-6560-49d1-8da6-ee7eb4706c8c.jpg
I, [2024-11-09T16:39:09.352996 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 230 мм YATO YT-82105, Price: 3 600 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/98965334-6560-49d1-8da6-ee7eb4706c8c.jpg
I, [2024-11-09T16:39:09.354389 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/93dde6ec-d3d0-4bfe-a5d5-427b1926e12d.jpg
I, [2024-11-09T16:39:09.354452 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 125мм 1700Вт (2850-10500 хв⁻¹) YATO YT-821024, price: 3 000 ₴, description: , category: 24ka, image_path: media_dir/24ka/93dde6ec-d3d0-4bfe-a5d5-427b1926e12d.jpg
I, [2024-11-09T16:39:09.354494 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 125мм 1700Вт (2850-10500 хв⁻¹) YATO YT-821024, Price: 3 000 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/93dde6ec-d3d0-4bfe-a5d5-427b1926e12d.jpg
I, [2024-11-09T16:39:09.365589 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/997bf160-04cf-4861-81b6-ca53d8880901.jpg
I, [2024-11-09T16:39:09.365656 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Шліфмашина кутова 230мм YATO YT-82110, price: 3 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/997bf160-04cf-4861-81b6-ca53d8880901.jpg
I, [2024-11-09T16:39:09.365685 #28780]  INFO -- : Processed file: Parsed product: Шліфмашина кутова 230мм YATO YT-82110, Price: 3 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/997bf160-04cf-4861-81b6-ca53d8880901.jpg
I, [2024-11-09T16:39:09.390597 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233248341_w358_h473_disk-freza-shlifuvalnij-po.jpg
I, [2024-11-09T16:39:09.416359 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/14570fcc-d1a6-42db-b5f2-ab6c51764b78.jpg
I, [2024-11-09T16:39:09.416467 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Диск-фреза шліфувальний по дереву та алюмінію 125 мм YATO YT-59165, price: 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/14570fcc-d1a6-42db-b5f2-ab6c51764b78.jpg
I, [2024-11-09T16:39:09.416545 #28780]  INFO -- : Processed file: Parsed product: Диск-фреза шліфувальний по дереву та алюмінію 125 мм YATO YT-59165, Price: 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/14570fcc-d1a6-42db-b5f2-ab6c51764b78.jpg
I, [2024-11-09T16:39:09.426025 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233274928_w269_h230_shtativ-dlya-bolgarki.jpg
I, [2024-11-09T16:39:09.451349 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233258681_w269_h230_nasadka-dlya-shlifuvannya.jpg
I, [2024-11-09T16:39:09.452838 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/19ecc1af-d3a6-408a-bab7-6952b684f607.jpg
I, [2024-11-09T16:39:09.452911 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Штатив для болгарки 230мм з чавунною основою Yato YT-82976, price: 1 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/19ecc1af-d3a6-408a-bab7-6952b684f607.jpg
I, [2024-11-09T16:39:09.452942 #28780]  INFO -- : Processed file: Parsed product: Штатив для болгарки 230мм з чавунною основою Yato YT-82976, Price: 1 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/19ecc1af-d3a6-408a-bab7-6952b684f607.jpg
